currency	price	address	location	title	web	area	ambs	price_area_ratio
U$S	95000	Luis Viale 200	Villa Crespo, Capital Federal	Depto.tipo Casa De 5 Ambientes En Venta En Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1204246303-deptotipo-casa-de-5-ambientes-en-venta-en-villa-crespo-_JM#position=36&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	80	5	1187
U$S	95000	Aguirre 1100	Villa Crespo, Capital Federal	Ph Patio Baulera En Depto Impecable - Aguirre Al 1100 - Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1344997592-ph-patio-baulera-en-depto-impecable-aguirre-al-1100-villa-crespo-_JM#position=34&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	65	3	1461
U$S	95000	Andres Lamas 2637. Entre Biarritz Y Carrzanza	Paternal, Capital Federal	Ph 3amb Contrafrente 2 Pisos Lamas 2600	https://inmueble.mercadolibre.com.ar/MLA-833285430-ph-3amb-contrafrente-2-pisos-lamas-2600-_JM#position=27&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	86	3	1104
U$S	95000	General Manuel A. Rodríguez 2700	Paternal, Capital Federal	Ph 5 Ambientes Venta - Paternal - Oportunidad	https://inmueble.mercadolibre.com.ar/MLA-1367083364-ph-5-ambientes-venta-paternal-oportunidad-_JM#position=25&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	85	5	1117
U$S	95000	Roseti  400	Chacarita, Capital Federal	Ph De 3 Amb. Con Patio En Exc. Ubicación!	https://inmueble.mercadolibre.com.ar/MLA-1215069900-ph-de-3-amb-con-patio-en-exc-ubicacion-_JM#position=24&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	64	3	1484
U$S	95000	Roseti Al 400	Chacarita, Capital Federal	Ph  Roseti Y Jorge Newbery	https://inmueble.mercadolibre.com.ar/MLA-1133156932-ph-roseti-y-jorge-newbery-_JM#position=22&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	60	3	1583
U$S	94999	Maure 3700	Chacarita, Capital Federal	Venta Ph Chacarita/colegiales 3 Amb	https://inmueble.mercadolibre.com.ar/MLA-1314884422-venta-ph-chacaritacolegiales-3-amb-_JM#position=38&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	77	3	1233
U$S	94000	Cucha Cucha   2600	Paternal, Capital Federal	Permuta Oferta Ph 4amb Entrada Privada Sin Expensas	https://inmueble.mercadolibre.com.ar/MLA-1230546106-permuta-oferta-ph-4amb-entrada-privada-sin-expensas-_JM#position=9&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	80	4	1175
U$S	93000	Cucha Cucha 2300	Paternal, Capital Federal	Venta Ph 3 Ambientes Con Hermosa Terraza Propia. Paternal. Oportunidad!	https://inmueble.mercadolibre.com.ar/MLA-1342683601-venta-ph-3-ambientes-con-hermosa-terraza-propia-paternal-oportunidad-_JM#position=33&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	50	3	1860
U$S	93000	Cucha Cucha   2600	Villa Crespo, Capital Federal	Permuta Oferta Ph 4amb Entrada Privada Sin Expensas	https://inmueble.mercadolibre.com.ar/MLA-1230822551-permuta-oferta-ph-4amb-entrada-privada-sin-expensas-_JM#position=12&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	100	4	930
U$S	92900	Cucha Cucha 2302	Villa Crespo, Capital Federal	Venta Ph 3 Ambientes Con Hermosa Terraza Propia. Limite Con Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1362042971-venta-ph-3-ambientes-con-hermosa-terraza-propia-limite-con-villa-crespo-_JM#position=29&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	49	3	1895
U$S	92000	Warnes 2300	Paternal, Capital Federal	Ph T/casa Planta Baja Aterminar Oportunidad	https://inmueble.mercadolibre.com.ar/MLA-1361098093-ph-tcasa-planta-baja-aterminar-oportunidad-_JM#position=39&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	120	6	766
U$S	90000	Potosí Y Río De Janeiro	Villa Crespo, Capital Federal	Departamento Venta 1 Dormitorio 1 Baño 1 Balcón Y Patio 67 Mts 2 Totales - Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1360025568-departamento-venta-1-dormitorio-1-bano-1-balcon-y-patio-67-mts-2-totales-villa-crespo-_JM#position=37&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	60	3	1500
U$S	90000	Terrero Al 1500	Paternal, Capital Federal	Ph Refaccionado De 3 Ambientes Con Terraza En Paternal	https://inmueble.mercadolibre.com.ar/MLA-1371163296-ph-refaccionado-de-3-ambientes-con-terraza-en-paternal-_JM#position=35&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	39	3	2307
U$S	89900	Escalada De San Martin	R. Al 300. Entre Av. Warnes Y Valentin Virasoro, Villa Crespo	Oportunidad Excelente Ph Al Fte. C/ Patio, Apto Profesional!	https://inmueble.mercadolibre.com.ar/MLA-1205594060-oportunidad-excelente-ph-al-fte-c-patio-apto-profesional-_JM#position=26&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	56	3	1605
U$S	89000	Sánchez 1800	Paternal, Capital Federal	Ph 3 Amb C/dep Paternal Frente Sin Exp Permuta	https://inmueble.mercadolibre.com.ar/MLA-1314895517-ph-3-amb-cdep-paternal-frente-sin-exp-permuta-_JM#position=20&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	52	3	1711
U$S	89000	Av. Donato Alvarez 2100	Paternal, Capital Federal	Venta Ph 4 Ambientes Con Patio, Quincho Y Parrilla En Paternal!!	https://inmueble.mercadolibre.com.ar/MLA-1314599307-venta-ph-4-ambientes-con-patio-quincho-y-parrilla-en-paternal-_JM#position=21&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	60	4	1483
U$S	89000	Aguirre  200	Villa Crespo, Capital Federal	Ph En Venta En Vila Crespo A Refaccionar	https://inmueble.mercadolibre.com.ar/MLA-1362402535-ph-en-venta-en-vila-crespo-a-refaccionar-_JM#position=11&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	57	4	1561
U$S	87000	Thames 100. Entre Muñecas Y Valentin Virasoro	Villa Crespo, Capital Federal	Ph  5 Amb Entrada Independiente Para Reciclar	https://inmueble.mercadolibre.com.ar/MLA-1214141250-ph-5-amb-entrada-independiente-para-reciclar-_JM#position=5&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	90	5	966
U$S	86500	Aráoz 400	Villa Crespo, Capital Federal	Venta Ph 3 Ambientes Con 2 Terraza - Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1124931243-venta-ph-3-ambientes-con-2-terraza-villa-crespo-_JM#position=13&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	44	3	1965
U$S	84900	Vera  1300	Villa Crespo, Capital Federal	Ph Al Frente 4 Ambientes 2 Baños	https://inmueble.mercadolibre.com.ar/MLA-883831335-ph-al-frente-4-ambientes-2-banos-_JM#position=4&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	80	4	1061
U$S	82000	Humboldt Y Martinez Rosas -  Ph 4 Amb Con Terraza Propia Y Posibilidad De Construir	Villa Crespo, Capital Federal	Humboldt Y Martinez Rosas -  Ph 4 Amb Con Terraza Propia Y Posibilidad De Construir	https://inmueble.mercadolibre.com.ar/MLA-1332169087-humboldt-y-martinez-rosas-ph-4-amb-con-terraza-propia-y-posibilidad-de-construir-_JM#position=19&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	58	4	1413
U$S	82000	Raúl Scalabrini Ortiz 500	Villa Crespo, Capital Federal	Venta  Ph Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1282698564-venta-ph-villa-crespo-_JM#position=28&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	40	3	2050
U$S	82000	Humboldt Y Martinez Rosas -  Ph  3 Amb + Escriot Con Terraza Propia	Villa Crespo, Capital Federal	Humboldt Y Martinez Rosas -  Ph 3 Amb   Escrit Con Terraza Propia	https://inmueble.mercadolibre.com.ar/MLA-1332149680-humboldt-y-martinez-rosas-ph-3-amb-escrit-con-terraza-propia-_JM#position=10&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	58	3	1413
U$S	79999	Charlone Al 900	Chacarita, Capital Federal	Ph  2 Amb - Altillo - Sin Expensas - A Reciclar - Chacarita	https://inmueble.mercadolibre.com.ar/MLA-1255239840-ph-2-amb-altillo-sin-expensas-a-reciclar-chacarita-_JM#position=17&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	47	3	1702
U$S	79500	Darwin Al 300. Entre Padilla Y Murillo	Villa Crespo, Capital Federal	Venta!! 3 Amb Al Frente, Todo Externo Y Luminoso!!	https://inmueble.mercadolibre.com.ar/MLA-1160174517-venta-3-amb-al-frente-todo-externo-y-luminoso-_JM#position=31&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	52	3	1528
U$S	79000	14 De Julio  1286. Entre Giribone Y Alvarez Thomas	Avda., Villa Ortúzar	Ph En Venta En Villa Ortuzar	https://inmueble.mercadolibre.com.ar/MLA-1152334991-ph-en-venta-en-villa-ortuzar-_JM#position=18&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	45	3	1755
U$S	79000	Rojas 1300	Villa Crespo, Capital Federal	Venta De Ph En Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1144600571-venta-de-ph-en-villa-crespo-_JM#position=3&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	54	3	1462
U$S	78000	Adolfo Dickman 1200	Paternal, Capital Federal	Venta Ph 3 Ambientes En Paternal	https://inmueble.mercadolibre.com.ar/MLA-1337942929-venta-ph-3-ambientes-en-paternal-_JM#position=30&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	49	3	1591
U$S	77500	Camarones 2831	Paternal, Capital Federal	Venta Ph Frente 3 Ambientes Sin Expensas Patio Luminoso	https://inmueble.mercadolibre.com.ar/MLA-1264255010-venta-ph-frente-3-ambientes-sin-expensas-patio-luminoso-_JM#position=23&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	60	3	1291
U$S	77000	Darwin 900	Villa Crespo, Capital Federal	Venta De Ph 3 Amb. Al Frente En Villa Crespo	https://inmueble.mercadolibre.com.ar/MLA-1294368251-venta-de-ph-3-amb-al-frente-en-villa-crespo-_JM#position=15&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	51	3	1509
U$S	75000	14 De Julio Al 1200. Entre Av Alvarez Thomas Y Giribone	Villa Ortúzar, Capital Federal	14 De Julio 1200 V Ortúzar Ph 3amb U$75.000	https://inmueble.mercadolibre.com.ar/MLA-1157690052-14-de-julio-1200-v-ortuzar-ph-3amb-u75000-_JM#position=32&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	45	3	1666
U$S	75000	Fragata Presidente Sarmiento 2159	Paternal, Capital Federal	Oportunidad Ph Paternal Duplica Metros!!!	https://inmueble.mercadolibre.com.ar/MLA-1268368329-oportunidad-ph-paternal-duplica-metros-_JM#position=7&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	75	4	1000
U$S	72000	Alejandro Magariños Cervantes 1400	Paternal, Capital Federal	Venta Ph 3 Ambientes, Patio, A Reciclar, Paternal	https://inmueble.mercadolibre.com.ar/MLA-1300921203-venta-ph-3-ambientes-patio-a-reciclar-paternal-_JM#position=8&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	64	3	1125
U$S	72000	Raulies   2000	Paternal, Capital Federal	4/5 Amb A Refaccionar -  Le Brique Propiedades	https://inmueble.mercadolibre.com.ar/MLA-1382814922-45-amb-a-refaccionar-le-brique-propiedades-_JM#position=2&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	85	5	847
U$S	71000	Avenida Elcano 4900	Paternal, Capital Federal	Venta Ph 3 Ambientes Paternal	https://inmueble.mercadolibre.com.ar/MLA-1151645408-venta-ph-3-ambientes-paternal-_JM#position=1&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	64	3	1109
U$S	70000	Charlone Al 1200	Colegiales, Capital Federal	Ph - Villa Ortuzar	https://inmueble.mercadolibre.com.ar/MLA-1294714133-ph-villa-ortuzar-_JM#position=14&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	49	3	1428
U$S	56000	Camarones 1669. Entre Av Donato Alvarez Y Trelles	Paternal, Capital Federal	Ph En Venta En Paternal	https://inmueble.mercadolibre.com.ar/MLA-1315115296-ph-en-venta-en-paternal-_JM#position=6&search_layout=grid&type=item&tracking_id=718446c5-2c82-4a31-8121-836f3c4c754a	41	3	1365
